label	topic_id	annotator1	annotator2	annotator3	annotator4	annotator5	annotator6	annotator7	annotator8	annotator9	annotator10
hydrochloric acid	59.0	2	2	2.0	2.0	3.0	2.0	1.0	2.0	2.0	
antimony	59.0	1	1	2.0	2.0	0.0	2.0	2.0	2.0	2.0	
chloride	59.0	1	1	2.0	0.0	2.0	0.0				
copper	59.0	1	1	2.0	2.0	0.0	3.0	0.0			
magnesium	59.0	1	1	0.0	3.0	2.0	2.0	0.0			
titanium	59.0	1	1	1.0	2.0	2.0	3.0	1.0	3.0	3.0	
bismuth	59.0	1	1	2.0	3.0	1.0	1.0				
chromium	59.0	1	1	0.0	3.0	1.0					
sodium hydroxide	59.0	0	1	1.0	3.0	2.0	0.0	1.0			
sodium chloride	59.0	1	1	2.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0
sulfuric acid	59.0	2	2	2.0	1.0	2.0					
sulfide	59.0	1	1	3.0	0.0	2.0	1.0				
nitric acid	59.0	2	3	3.0	2.0						
zinc	59.0	1	3	1.0	2.0	1.0	2.0	2.0	0.0		
sulfur	59.0	1	1	3.0	2.0						
iron	59.0	0	1	0.0	1.0	1.0	0.0				
hydroxide	59.0	3	2	2.0	1.0	0.0	3.0				
temple	60.0	3	2	3.0	1.0	2.0	2.0	2.0			
shrine	60.0	2	3	3.0	2.0	2.0	1.0	3.0	2.0	2.0	
portico	60.0	0	1	1.0	0.0	0.0					
roman temple	60.0	3	3	1.0	3.0	2.0	2.0	2.0			
palace	60.0	3	2	2.0	2.0	1.0	2.0	1.0			
altar	60.0	0	0	3.0	2.0	0.0	1.0	0.0			
roman art	60.0	3	3	2.0	2.0	2.0	3.0	3.0	1.0		
peristyle	60.0	1	2	2.0	1.0	1.0	2.0	1.0			
basilica	60.0	1	1	3.0	1.0	2.0	1.0				
ancient roman architecture	60.0	1	3	2.0	3.0	3.0	0.0	0.0			
capitoline hill	60.0	0	1	1.0	0.0	0.0	3.0				
triumphal arch	60.0	0	1	2.0	1.0	0.0	1.0	0.0			
baptistery	60.0	1	0	1.0	1.0	1.0					
exedra	60.0	0	1	1.0	1.0	0.0	0.0	1.0			
hierapolis	60.0	1	2	1.0	3.0	2.0	1.0	1.0			
grotto	60.0	1	0	0.0	1.0						
roman sculpture	60.0	2	2	2.0	2.0	2.0	2.0				
mausoleum	60.0	1	2	1.0	2.0						
roman forum	60.0	3	2	2.0	3.0	3.0	1.0	1.0	2.0	1.0	
church architecture	61.0	3	2	3.0	1.0						
modern architecture	61.0	2	3	3.0	2.0	3.0					
history of architecture	61.0	3	2	2.0	1.0	3.0	2.0	1.0			
neoclassical architecture	61.0	0	1	2.0	3.0	2.0	0.0	3.0	0.0		
beaux-arts architecture	61.0	2	0	1.0	3.0	2.0	2.0	2.0			
architectural style	61.0	2	3	3.0	2.0	2.0	3.0	3.0	3.0	2.0	
baroque architecture	61.0	1	2	2.0	3.0	2.0	0.0	0.0			
renaissance architecture	61.0	1	3	2.0	2.0	2.0	3.0	2.0			
renaissance revival architecture	61.0	1	1	2.0	3.0	3.0	0.0	0.0			
international style (architecture)	61.0	2	1	2.0	2.0	2.0					
gothic revival architecture	61.0	2	2	2.0	2.0	3.0	1.0	1.0	2.0	3.0	
classical architecture	61.0	0	0	3.0	0.0	3.0	0.0				
architect	61.0	3	2	3.0	2.0	3.0	2.0	3.0			
vernacular architecture	61.0	1	3	1.0	0.0	0.0					
georgian architecture	61.0	3	1	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0
palladian architecture	61.0	3	2	1.0	1.0	2.0	3.0	2.0	2.0		
architecture	61.0	3	3	2.0	3.0	2.0	3.0	3.0			
architectural design	61.0	0	0	3.0	3.0	3.0	3.0				
gothic architecture	61.0	1	0	2.0	2.0	2.0	3.0				
distance	62.0	1	3	1.0	3.0	1.0	2.0	0.0			
square metre	62.0	0	3	0.0	3.0	3.0					
weight	62.0	1	1	3.0	0.0	1.0	1.0	1.0	3.0	1.0	
buoyancy	62.0	3	0	1.0	1.0	0.0					
long ton	62.0	1	1	0.0	0.0	0.0					
overall length	62.0	2	0	3.0	1.0	0.0	3.0	1.0			
cubic foot	62.0	2	2	1.0	3.0						
relative density	62.0	2	2	1.0							
1 metre	62.0	1	2	1.0	3.0	1.0	1.0	2.0	2.0		
wheelbase	62.0	2	1	3.0	1.0	0.0	1.0	1.0	0.0		
length	62.0	1	2	1.0	2.0	3.0	2.0	3.0	3.0	2.0	
size	62.0	1	3	2.0	0.0	0.0					
diameter	62.0	1	1	1.0	0.0	1.0	3.0	1.0			
kg	62.0	1	1	0.0	2.0	3.0	1.0				
circumference	62.0	2	2	2.0	1.0	0.0	2.0	0.0	0.0	3.0	
pounds per square inch	62.0	2	2	2.0	2.0						
speed	62.0	1	1	3.0	0.0	0.0	1.0				
height	62.0	1	1	1.0	0.0	1.0	1.0				
centimetre	62.0	1	1	1.0	2.0	3.0	2.0	1.0			
connective tissue	63.0	1	3	2.0	3.0	3.0					
peritoneum	63.0	0	0	2.0	1.0	0.0					
periosteum	63.0	2	2	2.0	2.0	2.0					
muscle tissue	63.0	0	0	2.0	2.0	3.0					
dermis	63.0	0	1	1.0	0.0	2.0	1.0	1.0			
soft tissue	63.0	0	0	1.0	1.0	2.0	2.0	0.0	1.0		
bone	63.0	0	0	2.0							
skeletal muscle	63.0	2	2	1.0	2.0	1.0	2.0	1.0			
cartilage	63.0	2	2	1.0	2.0	3.0					
cell membrane	63.0	1	3	2.0	2.0	2.0	1.0	1.0			
epithelium	63.0	1	2	2.0	2.0	3.0	2.0	0.0	2.0		
lymph node	63.0	2	0	0.0	1.0	1.0					
necrosis	63.0	1	2	1.0	2.0	2.0	2.0	1.0			
tendon	63.0	2	0	1.0	3.0	0.0	1.0				
muscle	63.0	2	2	1.0	1.0	2.0	3.0	3.0	2.0		
abdominal wall	63.0	1	1	1.0	0.0	2.0	1.0	1.0	1.0	1.0	
extracellular matrix	63.0	0	1	1.0	1.0	2.0	1.0	1.0			
inflammation	63.0	2	2	2.0							
collagen	63.0	0	2	3.0	1.0	1.0	3.0	1.0	2.0	2.0	
woodblock printing	64.0	2	0	0.0	1.0	0.0					
celadon	64.0	0	3	0.0	1.0	1.0	0.0	2.0			
tang dynasty	64.0	1	2	2.0	3.0						
blue and white porcelain	64.0	3	2	2.0	1.0	2.0	0.0	1.0			
chinese culture	64.0	1	1	1.0	2.0	1.0	2.0	2.0			
qing dynasty	64.0	0	2	1.0	1.0	3.0	2.0	1.0			
japanese art	64.0	3	2	2.0	2.0	3.0	3.0	3.0	2.0	3.0	
lacquerware	64.0	3	0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0
goryeo	64.0	0	1	1.0	1.0	1.0	3.0	0.0	0.0		
ceramic art	64.0	2	2	2.0	3.0	1.0	3.0				
chinese ceramics	64.0	3	3	2.0	2.0	2.0	3.0	1.0			
buddhist art	64.0	1	2	0.0	2.0	0.0	1.0	0.0			
jingdezhen	64.0	2	2	0.0	0.0	1.0	3.0	0.0	1.0		
japanese painting	64.0	1	2	2.0	1.0	1.0					
porcelain	64.0	3	0	2.0	3.0	3.0					
earthenware	64.0	0	2	1.0	0.0	2.0	0.0				
fujian	64.0	1	0	2.0	1.0	1.0	0.0	0.0			
chinese art	64.0	3	2	0.0							
cloisonné	64.0	3	1	3.0	0.0	3.0	3.0	1.0			
southwestern united states	65.0	0	3	3.0	1.0	2.0	1.0	1.0			
santa ana river	65.0	1	2	1.0	2.0	1.0	3.0	0.0			
los angeles	65.0	2	2	3.0	3.0	2.0	2.0				
sonora	65.0	2	0	2.0	1.0	0.0	2.0	1.0			
san antonio	65.0	1	2	1.0	0.0	1.0	1.0	1.0	2.0		
san gabriel valley	65.0	2	1	1.0	1.0	1.0	1.0				
san bernardino mountains	65.0	1	2	2.0	1.0	2.0	0.0				
california	65.0	2	3	2.0	3.0	0.0	0.0				
san bernardino valley	65.0	1	3	1.0	2.0	0.0	1.0	0.0			
southern california	65.0	1	2	2.0	2.0	3.0					
san joaquin valley	65.0	0	0	0.0	1.0						
new mexico	65.0	2	2	1.0	1.0	2.0	2.0				
san fernando valley	65.0	2	3	3.0	2.0	2.0	1.0				
san diego	65.0	1	2	1.0	1.0	0.0	1.0	2.0			
colorado	65.0	0	2	1.0	1.0	1.0	1.0	1.0	2.0		
san francisco	65.0	2	2	1.0	1.0	3.0	1.0	2.0	0.0	3.0	
baja california	65.0	2	3	0.0	3.0						
northern california	65.0	2	1	2.0	1.0	2.0	2.0	2.0	2.0		
mexicali	65.0	2	1	1.0	1.0	2.0	0.0	1.0			
louis philippe i	66.0	1	3	3.0	2.0	0.0	1.0	0.0			
prince	66.0	3	2	2.0							
louis xiii of france	66.0	3	2	2.0	2.0	3.0	3.0				
duke	66.0	1	1	2.0	2.0	3.0					
louis xi of france	66.0	2	3	1.0	3.0	2.0	0.0	3.0	0.0		
grand duke	66.0	2	2	0.0	3.0	1.0	0.0				
louis xii of france	66.0	1	1	1.0	1.0	2.0	1.0	2.0	2.0	1.0	
house of bourbon	66.0	2	2	2.0	2.0	0.0	2.0	2.0	0.0	2.0	
louis xiv of france	66.0	0	2	3.0	3.0						
prince of orange	66.0	1	2	0.0	1.0						
king of italy	66.0	0	1	1.0	1.0	1.0	1.0	1.0	1.0		
louis xv of france	66.0	2	1	2.0	2.0	2.0	1.0	1.0			
duke of orléans	66.0	1	1	2.0	2.0	0.0	3.0	2.0	1.0	1.0	
francis i of france	66.0	3	2	2.0	2.0	2.0					
german emperor	66.0	2	1	2.0	3.0	1.0	1.0	2.0			
louis xviii of france	66.0	1	1	2.0	3.0	2.0	1.0				
holy roman emperor	66.0	1	1	1.0	1.0	2.0	3.0	1.0			
count of flanders	66.0	0	1	1.0	0.0	3.0	3.0	1.0			
duke of burgundy	66.0	2	1	3.0	2.0	3.0	2.0	2.0	1.0		
my	67.0	0	0	0.0	0.0	0.0					
love	67.0	2	3	3.0	3.0	3.0	2.0	3.0			
everything (the bangles album)	67.0	1	2	0.0	1.0	0.0	1.0				
son of god	67.0	0	2	2.0	2.0	1.0	2.0	0.0			
girl	67.0	2	1	1.0	1.0	2.0	0.0	1.0			
forget	67.0	0	1	1.0	0.0	0.0	0.0	1.0			
conscience	67.0	2	1	1.0	1.0	0.0	1.0				
to me	67.0	0	0	1.0	0.0	0.0	0.0	0.0			
my sister	67.0	1	1	1.0	1.0	1.0	1.0				
to you	67.0	1	2	0.0	1.0	1.0	0.0	1.0	0.0		
love is	67.0	1	3	2.0	1.0	1.0					
mercy	67.0	2	0	0.0	1.0	0.0					
in love	67.0	1	1	1.0	1.0	2.0	1.0	2.0	2.0		
god	67.0	1	1	1.0	0.0	0.0	0.0	2.0	1.0		
crying	67.0	0	2	1.0	0.0	1.0	0.0	0.0			
a man	67.0	2	0	1.0	1.0	1.0					
you	67.0	1	0	0.0	1.0	0.0	0.0	0.0	1.0		
in heaven	67.0	0	1	1.0	0.0	0.0	0.0				
mother	67.0	3	3	3.0	2.0	2.0	3.0	1.0			
sailing	68.0	2	1	2.0	3.0	2.0	1.0	1.0	1.0		
gunboat	68.0	1	1	2.0	2.0	2.0	1.0				
warship	68.0	0	2	0.0	2.0	0.0	1.0	2.0	2.0		
yacht	68.0	1	2	2.0	3.0	0.0	2.0	3.0	2.0	1.0	
sailing ship	68.0	3	1	1.0	2.0	2.0	2.0	1.0			
north sea	68.0	2	2	3.0	2.0	3.0	1.0				
sea	68.0	0	0	1.0	3.0	1.0					
harbor	68.0	1	2	1.0	2.0	2.0	3.0	3.0	3.0	2.0	
schooner	68.0	1	3	1.0	2.0	1.0	2.0	2.0	3.0		
brigantine	68.0	1	1	0.0	0.0	1.0	1.0				
boat	68.0	2	2	2.0	2.0	1.0	3.0				
ship	68.0	2	2	1.0	2.0	2.0	3.0	1.0			
ferry	68.0	0	1	3.0	1.0	3.0	1.0	2.0			
fishing vessel	68.0	2	2	2.0	2.0	2.0	0.0	0.0			
sloop	68.0	2	2	3.0	1.0	1.0	1.0	1.0	1.0	0.0	
port	68.0	2	1	0.0	2.0	2.0	1.0				
steamship	68.0	2	1	1.0	0.0	1.0	1.0				
frigate	68.0	2	1	1.0	2.0	2.0	2.0				
whaler	68.0	1	2	2.0	1.0	1.0	1.0	3.0	1.0	2.0	
painting	69.0	2	1	3.0	1.0	3.0	2.0	1.0			
ancient art	69.0	2	3	3.0	3.0	3.0	2.0				
sculpture	69.0	2	1	2.0	1.0	1.0	2.0				
polychrome	69.0	1	1	1.0	2.0	0.0	1.0	2.0			
byzantine art	69.0	1	2	2.0	2.0	2.0	2.0	2.0	2.0		
cloisonné	69.0	1	1	0.0	2.0	3.0					
private collection	69.0	0	2	2.0	3.0	3.0	2.0	1.0	1.0		
louvre	69.0	2	0	1.0	1.0	2.0	2.0	2.0			
art	69.0	3	2	2.0	2.0	2.0	2.0	2.0			
british museum	69.0	2	1	2.0	2.0	1.0	0.0				
islamic art	69.0	1	3	1.0	0.0	2.0					
faience	69.0	2	1	3.0	0.0	1.0					
history of art	69.0	3	2	2.0	1.0						
terracotta	69.0	2	0	3.0	1.0	1.0	3.0	2.0	1.0	2.0	
ancient greek art	69.0	0	0	1.0	3.0	3.0					
ceramic art	69.0	3	2	2.0	2.0						
medieval art	69.0	1	3	2.0	2.0	2.0	2.0				
victoria and albert museum	69.0	1	2	2.0	3.0	2.0	3.0	1.0	2.0		
iconography	69.0	2	1	3.0	3.0	3.0	2.0	0.0	2.0	2.0	
building material	70.0	2	3	3.0	3.0						
stone wall	70.0	1	2	1.0							
travertine	70.0	1	1	0.0	3.0	0.0					
limestone	70.0	1	1	0.0	1.0	0.0	1.0				
retaining wall	70.0	0	1	2.0	0.0	1.0	0.0				
fly ash	70.0	1	1	1.0	3.0	1.0	1.0	1.0	0.0		
cast iron	70.0	2	2	1.0	1.0	1.0	1.0	1.0	0.0		
roof	70.0	2	2	1.0	0.0	1.0	1.0	1.0			
brick	70.0	2	2	2.0	1.0	1.0	1.0	3.0	1.0	3.0	2.0
concrete	70.0	2	2	2.0							
granite	70.0	1	2	1.0	2.0	3.0	0.0				
lime mortar	70.0	0	1	0.0	1.0	2.0	2.0	2.0	1.0		
reinforced concrete	70.0	3	2	2.0	3.0	2.0	1.0				
formwork	70.0	2	1	1.0	3.0	0.0	2.0	2.0	1.0	2.0	1.0
precast concrete	70.0	0	0	2.0	2.0	1.0	3.0	0.0			
masonry	70.0	2	0	2.0	2.0	2.0	1.0	1.0			
flat roof	70.0	1	0	3.0	1.0	1.0	0.0				
curtain wall (architecture)	70.0	1	2	1.0	1.0	2.0	0.0	1.0			
concrete slab	70.0	0	3	1.0	0.0	1.0					
cádiz	71.0	0	1	0.0	0.0	2.0					
new spain	71.0	1	2	2.0	2.0						
valladolid	71.0	1	1	0.0	2.0	1.0	1.0	3.0	1.0		
viceroyalty of peru	71.0	0	0	1.0	1.0	1.0					
sigüenza	71.0	2	0	1.0	0.0	1.0	1.0	3.0	2.0	1.0	
zaragoza	71.0	0	2	1.0	2.0	1.0	0.0	1.0			
spain	71.0	1	2	3.0	3.0	0.0	3.0	0.0			
burgos	71.0	1	2	1.0	0.0						
valencia	71.0	3	1	1.0	1.0	2.0	2.0	2.0	2.0		
segovia	71.0	0	1	0.0	2.0						
seville	71.0	2	1	1.0	0.0	2.0	3.0	3.0	2.0	2.0	
andalusia	71.0	1	1	1.0	1.0	2.0	1.0	1.0	0.0		
palencia	71.0	0	0	2.0	3.0	0.0	2.0	0.0			
badajoz	71.0	1	0	0.0	1.0	0.0					
pamplona	71.0	1	3	2.0	3.0	2.0	1.0	1.0			
salamanca	71.0	2	2	1.0	0.0	1.0	0.0	1.0			
alcalá de henares	71.0	0	0	1.0	1.0	1.0					
philip ii of spain	71.0	2	2	1.0	1.0	3.0					
spanish empire	71.0	2	3	3.0	2.0	3.0	1.0	3.0	2.0		
mother	72.0	2	2	1.0	1.0						
husband	72.0	1	0	2.0							
lady	72.0	3	1	2.0	1.0	1.0	3.0				
father	72.0	1	2	2.0	2.0	3.0	1.0	1.0	2.0	1.0	
aunt	72.0	3	2	3.0	2.0	1.0	1.0				
annie (musical)	72.0	0	2	1.0	1.0	0.0	0.0	1.0	1.0		
ellen	72.0	0	1	0.0	1.0	0.0					
uncle	72.0	1	2	1.0	1.0	0.0	0.0	1.0			
daughter	72.0	1	2	1.0	1.0	1.0	2.0	2.0	1.0		
girl	72.0	1	1	2.0	3.0	1.0					
mrs.	72.0	2	3	2.0	1.0	1.0					
wife	72.0	2	2	2.0	3.0	2.0	2.0	2.0			
sisters (tv series)	72.0	0	1	0.0	1.0	2.0	0.0	1.0	1.0		
adopted daughter	72.0	2	0	1.0	1.0	1.0	1.0				
mr.	72.0	2	3	1.0	2.0	1.0	2.0				
a woman	72.0	2	2	2.0	0.0	1.0	0.0	0.0			
sister	72.0	2	1	2.0	1.0	1.0	1.0				
emma (novel)	72.0	0	0	0.0	1.0	3.0	0.0	1.0			
sarah	72.0	0	0	1.0	0.0	0.0	1.0	0.0			
1st infantry division (united kingdom)	73.0	0	1	2.0	3.0	1.0	1.0				
infantry	73.0	3	2	0.0	0.0	3.0	3.0				
6th division (australia)	73.0	3	0	1.0	2.0	1.0	2.0	2.0	3.0		
special forces	73.0	2	3	2.0	3.0	2.0	3.0	3.0	2.0	3.0	
1st cavalry division (united states)	73.0	1	3	1.0	2.0	1.0					
military strategy	73.0	3	3	1.0	3.0	3.0					
cavalry	73.0	1	1	0.0	3.0	2.0	1.0	1.0	1.0	2.0	
army	73.0	1	3	3.0	2.0	3.0	3.0	3.0			
7th infantry division (united states)	73.0	0	0	3.0	3.0						
24th infantry division (united states)	73.0	1	2	2.0	1.0						
artillery	73.0	1	2	1.0	1.0	3.0	2.0				
close air support	73.0	2	2	1.0	2.0	0.0	1.0	2.0			
siege	73.0	0	1	1.0	1.0	2.0	0.0	2.0	1.0	1.0	
light division	73.0	2	2	2.0	0.0	0.0	1.0	0.0	1.0		
encirclement	73.0	2	3	1.0	1.0	0.0	1.0	1.0			
counterattack	73.0	0	1	3.0							
battle	73.0	3	3	3.0	2.0	2.0	3.0	3.0			
1st cavalry division (united kingdom)	73.0	3	1	1.0	2.0	2.0	2.0	1.0	1.0		
4th infantry regiment (united states)	73.0	3	2	0.0	1.0	3.0	1.0	1.0			
japanese garden	74.0	3	2	2.0	2.0	2.0	1.0	2.0			
grotto	74.0	1	1	0.0	1.0	0.0					
cottage garden	74.0	3	0	0.0	3.0	1.0					
orangery	74.0	2	1	0.0	1.0	3.0					
topiary	74.0	3	2	2.0	2.0	3.0	2.0				
garden	74.0	3	3	0.0	3.0	3.0	0.0				
shrubbery	74.0	1	0	1.0	1.0	2.0	1.0				
chinese garden	74.0	3	2	2.0	3.0	0.0	1.0				
natural landscape	74.0	3	2	1.0	2.0	2.0	3.0	3.0	3.0		
kew gardens	74.0	1	2	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0
garden design	74.0	2	3	3.0	1.0	3.0					
arboretum	74.0	1	2	1.0	2.0	1.0					
ornamental plant	74.0	3	2	2.0	0.0	3.0					
walled garden	74.0	2	0	0.0							
flower	74.0	1	2	2.0	3.0	2.0	1.0				
botanical garden	74.0	0	0	2.0	3.0	2.0	2.0	0.0			
picturesque	74.0	1	3	2.0	2.0	2.0	2.0	3.0			
english landscape garden	74.0	2	2	2.0	2.0	0.0	2.0				
gardening	74.0	3	2	3.0	1.0	3.0	3.0	3.0			
gothic revival architecture	75.0	1	3	2.0	1.0	2.0	1.0	0.0	1.0		
southwell minster	75.0	0	0	1.0	3.0	1.0	0.0	2.0	1.0		
ely cathedral	75.0	2	1	0.0	2.0	2.0	2.0	2.0			
cathedral	75.0	3	3	1.0	2.0	3.0	3.0	0.0			
church architecture	75.0	2	3	3.0	1.0	3.0	1.0	1.0			
gothic architecture	75.0	3	2	3.0							
bishop of worcester	75.0	2	1	2.0	1.0	3.0	2.0				
romanesque architecture	75.0	3	3	1.0	3.0	1.0					
lady chapel	75.0	1	3	2.0	2.0	1.0	2.0				
hereford cathedral	75.0	3	2	3.0	1.0	3.0	3.0	1.0			
abbot	75.0	1	1	3.0	0.0	2.0	2.0	2.0	1.0	2.0	
parish church	75.0	2	1	1.0	3.0	1.0	2.0	2.0			
canons regular	75.0	1	1	1.0	2.0	0.0	2.0				
archbishop of york	75.0	1	0	2.0	1.0	0.0	2.0	1.0			
chapel of ease	75.0	1	3	1.0	2.0	1.0	3.0				
priory church	75.0	1	2	2.0	3.0						
collegiate church	75.0	0	1	1.0	1.0	0.0					
bishop of lincoln	75.0	0	3	2.0	1.0	1.0	2.0				
bishop of rochester	75.0	1	1	1.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0
reason	76.0	1	1	2.0	1.0	1.0	0.0	0.0			
rationalism	76.0	3	3	1.0	1.0	3.0	2.0	1.0			
belief	76.0	3	1	2.0	1.0	1.0	2.0				
mind	76.0	2	2	2.0							
idealism	76.0	0	0	3.0	1.0	1.0	2.0	2.0	0.0		
rationality	76.0	1	2	1.0							
natural law	76.0	3	3	2.0	1.0	2.0	2.0	1.0	2.0		
nature (philosophy)	76.0	2	2	1.0	2.0	2.0	1.0	1.0			
ethics	76.0	2	0	3.0	2.0	0.0	2.0				
morality	76.0	0	2	0.0	3.0	2.0					
materialism	76.0	1	1	0.0	2.0	3.0	0.0	0.0	0.0		
common sense	76.0	0	0	2.0	3.0	1.0	1.0	2.0			
metaphysics	76.0	1	2	2.0	2.0	3.0	2.0	1.0			
knowledge	76.0	3	2	3.0	3.0	3.0	3.0	1.0	3.0		
human nature	76.0	3	0	2.0	3.0	2.0	2.0				
human	76.0	1	2	2.0	1.0	1.0	2.0	1.0			
free will	76.0	0	1	3.0	2.0	0.0	1.0	1.0			
existence of god	76.0	1	1	1.0							
philosophy	76.0	2	2	2.0	0.0	0.0					
john king (priest)	77.0	0	2	1.0	1.0						
james douglas (died 1751)	77.0	1	0	2.0	0.0	1.0	1.0	3.0			
margaret	77.0	0	1	1.0	2.0	3.0					
anne	77.0	0	2	0.0	0.0	0.0	1.0				
earl of lichfield	77.0	0	1	0.0	0.0	1.0	0.0				
son-in-law	77.0	1	1	0.0	0.0	0.0	0.0	0.0			
lady	77.0	1	3	1.0	2.0	2.0	1.0	2.0			
earl of carlisle	77.0	1	1	1.0	0.0	1.0	1.0	1.0			
earl of pembroke	77.0	0	2	0.0	0.0	2.0					
elizabeth	77.0	2	1	3.0	0.0	3.0	3.0				
anne of denmark	77.0	1	0	2.0	1.0	3.0	1.0				
robert cecil (mp)	77.0	1	1	3.0	2.0	3.0	0.0				
hugh	77.0	0	1	1.0	0.0	0.0	2.0	0.0	1.0	0.0	
earl of beverley	77.0	2	2	1.0	2.0	1.0	2.0	2.0			
charles	77.0	0	0	1.0	1.0	1.0					
earl	77.0	0	0	2.0	1.0	2.0	2.0	0.0	1.0		
thomas lawrence	77.0	1	1	1.0	2.0	1.0	0.0	0.0			
edward	77.0	1	1	0.0	1.0						
thomas jermyn (died 1645)	77.0	1	2	1.0	1.0	1.0	1.0	1.0	0.0		
prose	78.0	1	3	0.0	0.0	0.0	0.0				
playwright	78.0	2	1	1.0	3.0	1.0	0.0	0.0			
poetry	78.0	3	2	2.0	3.0	3.0	1.0	1.0			
drama	78.0	2	2	2.0	2.0	2.0	1.0				
english literature	78.0	2	3	3.0	2.0	2.0	3.0	2.0			
lyric poetry	78.0	0	2	2.0							
blank verse	78.0	2	2	1.0	2.0	1.0					
film adaptation	78.0	1	1	1.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0
comedy	78.0	1	1	1.0	0.0	1.0	0.0	0.0	0.0		
short story	78.0	1	1	2.0	1.0	0.0	1.0	0.0			
american literature	78.0	2	1	1.0	2.0	1.0	0.0	1.0	1.0	2.0	
libretto	78.0	1	3	1.0	1.0	2.0	1.0	2.0			
literature	78.0	2	3	2.0	3.0	2.0	0.0	0.0			
writer	78.0	3	2	3.0	1.0	3.0	2.0	3.0	2.0	2.0	
king lear	78.0	3	0	1.0	1.0	0.0	1.0	2.0			
romeo and juliet	78.0	2	2	3.0	2.0	2.0	0.0				
long poem	78.0	2	2	2.0	1.0	1.0	3.0	2.0			
novel	78.0	2	2	2.0	3.0	2.0	2.0				
bertolt brecht	78.0	2	1	0.0	1.0	1.0	0.0	2.0			
nitrogen	79.0	1	1	1.0	1.0	2.0	2.0	2.0	1.0		
waste heat	79.0	0	0	2.0	1.0						
carbon dioxide	79.0	1	1	1.0	2.0	0.0	1.0	1.0			
ammonia	79.0	1	1	0.0	2.0	0.0					
coolant	79.0	1	1	3.0	1.0	2.0					
heat sink	79.0	2	3	3.0	2.0	2.0	0.0				
heat pump	79.0	2	2	1.0	2.0	2.0	1.0	1.0			
thermocouple	79.0	1	2	1.0	3.0	0.0	1.0				
heat exchanger	79.0	1	3	1.0	2.0	2.0					
thermal expansion	79.0	2	1	1.0	3.0	2.0	3.0	2.0			
liquid	79.0	2	2	1.0	1.0	1.0	1.0				
electric current	79.0	1	2	3.0	3.0	1.0	2.0	3.0	3.0	3.0	
heat pipe	79.0	2	2	2.0	2.0						
hydrogen	79.0	1	2	1.0	2.0	2.0	1.0	2.0	1.0	1.0	
evaporator (marine)	79.0	2	2	1.0	1.0	1.0	1.0				
heat transfer	79.0	1	0	2.0	2.0	2.0	2.0				
evaporation	79.0	1	3	2.0	3.0	2.0	3.0				
water vapor	79.0	0	3	2.0	2.0	2.0	2.0				
evaporator	79.0	0	0	1.0	0.0						
cannon	80.0	1	0	2.0	1.0						
flight deck	80.0	0	1	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
torpedo	80.0	1	1	1.0	2.0	2.0	1.0	2.0	2.0	2.0	
electric motor	80.0	1	2	2.0	2.0	1.0	0.0	2.0	1.0		
vickers machine gun	80.0	2	3	1.0	1.0	2.0	0.0	1.0	0.0		
propeller	80.0	1	3	0.0							
machine gun	80.0	3	2	0.0	3.0	2.0	0.0	3.0	0.0		
bofors 40 mm gun	80.0	0	3	0.0	3.0	1.0	0.0				
lewis gun	80.0	1	0	0.0	2.0	2.0	2.0				
rate of fire	80.0	1	3	1.0	0.0	1.0					
pusher configuration	80.0	1	2	2.0	1.0	0.0	0.0	0.0			
naval artillery	80.0	3	3	1.0	2.0	1.0					
outboard motor	80.0	2	1	2.0	1.0	0.0					
diesel engine	80.0	3	1	1.0	1.0	2.0	2.0	0.0			
gas turbine	80.0	3	1	2.0	0.0	2.0	2.0	1.0	1.0		
main battery	80.0	0	2	0.0	1.0	0.0	1.0	0.0			
steam engine	80.0	1	2	1.0	3.0	2.0	2.0	2.0			
gun turret	80.0	3	2	1.0	1.0	2.0	2.0	3.0	3.0		
autocannon	80.0	2	1	1.0	2.0	1.0					
orbit	81.0	2	2	2.0	3.0	0.0	2.0				
venus	81.0	2	1	1.0	0.0	1.0	0.0				
earth	81.0	2	1	1.0	3.0	2.0	2.0	1.0			
solar system	81.0	0	3	2.0	3.0	3.0	0.0	0.0			
jupiter	81.0	2	1	1.0	1.0	0.0					
star	81.0	3	3	1.0	2.0	2.0					
occultation	81.0	2	1	2.0	0.0						
moon	81.0	3	2	3.0	1.0	2.0	2.0	2.0	3.0	3.0	
planet	81.0	2	1	1.0	1.0	3.0	1.0				
angular distance	81.0	2	1	2.0	3.0	1.0	2.0	1.0			
saturn	81.0	2	1	0.0	2.0	1.0	1.0	1.0	1.0	2.0	
redshift	81.0	1	2	1.0	3.0	1.0	2.0	1.0			
parallax	81.0	1	2	1.0	0.0	2.0					
black hole	81.0	2	1	2.0	1.0	2.0					
angular diameter	81.0	0	2	0.0	2.0	2.0	1.0	1.0	2.0	1.0	
milky way	81.0	2	3	1.0	0.0						
ecliptic	81.0	1	0	3.0	1.0	0.0	2.0				
